Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,TotalTests,Population,Continent
USA,111820082,1219487,109814428,786167,1186851502,334805269,North America
India,45035393,533570,414988.2324,44086834.77,935879495,1406631776,Asia
France,40138560,167642,39970918,0,271490188,65584518,Europe
Germany,38828995,183027,38240600,405368,122332384,83883596,Europe
Brazil,38743918,711380,36249161,1783377,63776166,215353593,South America
S. Korea,34571873,35934,34535939,0,15804065,51329899,Asia
Japan,33803572,74694,311490.2226,33417387.78,100414883,125584838,Asia
Italy,26723249,196487,26361218,165544,281126449,60262770,Europe
UK,24910387,232112,24678275,0,522526476,68497907,Europe
Russia,24124215,402756,23545818,175641,273400000,145805947,Europe
Turkey,17232066,102174,158788.5468,16971103.45,162743369,85561976,Asia
Spain,13914811,121760,13762417,30634,471036328,46719142,Europe
Australia,11853144,24414,11820014,8716,81916639,26068792,Australia/Oceania
Vietnam,11625195,43206,10640971,941018,85826548,98953541,Asia
Taiwan,10241523,19005,10222518,0,30742304,23888595,Asia
Argentina,10128845,130841,9997258,746,35716069,46010234,South America
Netherlands,8635786,22992,8612599,195,25984435,17211447,Europe
Mexico,7702809,334958,6899865,467986,20013810,131562772,North America
Iran,7627186,146811,70282.33186,7410092.668,57320267,86022837,Asia
Indonesia,6829221,162063,6647104,20054,114158919,279134505,Asia
Poland,6661991,120598,61388.33671,6480004.663,39323709,37739785,Europe
Colombia,6400173,143200,6212152,44821,36951507,51512762,South America
Greece,6101379,37869,56222.45788,6007287.542,102228365,10316637,Europe
Austria,6081287,22542,6054934,3811,211273524,9066710,Europe
Portugal,5643062,28126,5614809,127,46139518,10140570,Europe
Ukraine,5557995,112418,5445577,0,32603805,43192122,Europe
Chile,5384853,64497,5252450,67906,50382097,19250195,South America
Malaysia,5278406,37348,5233268,7790,68580916,33181072,Asia
Canada,4946090,59034,4881312,5744,66572774,38388419,North America
Belgium,4861695,34376,4826798,521,37454182,11668278,Europe
Israel,4841772,12707,4798473,30592,41373364,9326000,Asia
DPRK,4772813,74,4772739,0,58219029.77,25990679,Asia
Thailand,4770149,34586,4692636,42927,17273454,70078203,Asia
Czechia,4759041,43517,4715206,318,57834241,10736784,Europe
Peru,4572667,222161,4350506,0,39010194,33684208,South America
Switzerland,4453053,14452,4438309,292,23833472,8773637,Europe
Philippines,4140383,66864,4067381,6138,36102746,112508994,Asia
South Africa,4076463,102595,3912506,61362,26795090,60756135,Africa
Romania,3529735,68929,3460149,657,28758667,19031335,Europe
Denmark,3183756,8814,3174942,0,129333107,5834950,Europe
Singapore,3006155,2024,3004131,0,24756666,5943546,Asia
Hong Kong,2937609,14924,2916005,6680,76127725,7604299,Asia
Sweden,2754129,27407,2726492,230,19500873,10218971,Europe
New Zealand,2621111,5697,2613791,1623,7768604,4898203,Australia/Oceania
Serbia,2615054,18057,2596608,389,13463733,8653016,Europe
Iraq,2465545,25375,2439497,673,19544451,42164965,Asia
Hungary,2230232,49048,2152155,29029,11394556,9606259,Europe
Bangladesh,2049377,29493,18884.42139,2000999.579,15254399,167885689,Asia
Slovakia,1877605,21224,1856381,0,7448789,5460193,Europe
Georgia,1861665,17132,17154.70913,1827378.291,16920079,3968738,Asia
Jordan,1746997,14122,1731007,1868,17201885,10300869,Asia
Ireland,1734582,9491,1724921,170,13083449,5020199,Europe
Pakistan,1581936,30664,1538689,12583,30589153,229488994,Asia
Finland,1516117,11958,1503989,170,12108977,5554960,Europe
Norway,1509732,6638,1503094,0,11002430,5511370,Europe
Kazakhstan,1411831,13848,1383020,14963,11575012,19205043,Asia
Lithuania,1397806,9897,1387478,431,10540357,2661708,Europe
Slovenia,1356546,7100,1349424,22,2847701,2078034,Europe
Bulgaria,1339851,38748,1292944,8159,11671043,6844597,Europe
Croatia,1309728,18687,1258432,32609,5660084,4059286,Europe
Guatemala,1291293,20289,1269891,1113,7593848,18584039,North America
Morocco,1278992,16303,11785.54452,1250903.455,13001033,37772756,Africa
Lebanon,1243838,10952,1087587,145299,4795578,6684849,Asia
Costa Rica,1238883,9428,11415.95159,1218039.048,4659757,5182354,North America
Bolivia,1212131,22407,1177145,12579,2710261,11992656,South America
Tunisia,1153361,29423,10627.89088,1113310.109,5013383,12046656,Africa
Cuba,1115251,8530,1106660,61,14402674,11305652,North America
Ecuador,1070188,36043,1034145,0,3082403,18113361,South America
UAE,1067030,2349,9832.375474,1054848.625,200732262,10081785,Asia
Panama,1059893,8727,1051102,64,7882622,4446964,North America
Uruguay,1041111,7664,1030944,2503,6114822,3496016,South America
Mongolia,1011496,2284,1009212,0,4030048,3378078,Asia
Nepal,1003450,12031,991322,97,6047766,30225582,Asia
Belarus,994037,7118,985592,1327,13646641,9432800,Europe
Latvia,982505,6715,971406,4384,7885792,1848837,Europe
Saudi Arabia,841469,9646,7753.89554,824069.1045,45481735,35844909,Asia
Paraguay,837602,20155,7718.262243,809728.7378,2657506,7305843,South America
Azerbaijan,835234,10400,824089,745,7748050,10300205,Asia
Bahrain,729549,1574,727915,60,10948549,1783983,Asia
Cyprus,681110,1365,679745,0,9640118,1223387,Asia
Dominican Republic,675890,4384,671316,190,3740928,11056370,North America
Sri Lanka,672754,16897,655852,5,6486117,21575842,Asia
Kuwait,667158,2570,6147.669659,658440.3303,8455743,4380326,Asia
Myanmar,641873,19495,620159,2219,11711514,55227143,Asia
Moldova,635145,12218,5852.679044,617074.321,3216305,4013171,Europe
Estonia,628070,3001,5787.484948,619281.5151,6968103,1321910,Europe
Palestine,621008,5404,615445,159,3078533,5345541,Asia
Venezuela,552695,5856,546537,302,3359014,29266991,South America
Egypt,516023,24613,442182,49228,3693367,106156692,Africa
Qatar,514524,690,513687,147,4065369,2979915,Asia
Libya,507274,6437,500835,2,2483848,7040745,Africa
Ethiopia,501157,7574,488171,5412,5565340,120812698,Africa
Runion,494595,921,4557.551097,489116.4489,1603660,908061,Africa
Honduras,474590,11165,4373.210759,459051.7892,1660662,10221247,North America
Armenia,451831,8777,435162,7892,3242901,2971966,Asia
Bosnia and Herzegovina,403615,16388,379084,8143,1884721,3249317,Europe
Oman,399449,4628,3680.807991,391140.192,25000000,5323993,Asia
Luxembourg,391232,1232,3605.090692,386394.9093,4587145,642371,Europe
North Macedonia,350567,9976,337068,3523,2226216,2081304,Europe
Zambia,349304,4069,341316,3919,4112961,19470234,Africa
Kenya,344130,5689,337309,1132,3967062,56215221,Africa
Brunei,343719,225,243601,99893,717784,445431,Asia
Albania,334863,3605,330233,1025,1941032,2866374,Europe
Botswana,330638,2801,327049,788,2026898,2441162,Africa
